================ Training Loss (Tue Mar  3 09:14:31 2026) ================
[Rank 0] (epoch: 84, iters: 40, time: 1.406, data: 0.003) , G_GAN: 0.622, G_L1: 0.369, D_real: 0.087, D_fake: 0.037, G_FM: 19.211

[Rank 0] (epoch: 85, iters: 20, time: 0.622, data: 0.003) , G_GAN: 0.546, G_L1: 0.410, D_real: 0.122, D_fake: 0.039, G_FM: 18.857

[Rank 0] (epoch: 85, iters: 120, time: 0.586, data: 0.003) , G_GAN: 0.784, G_L1: 0.412, D_real: 0.024, D_fake: 0.105, G_FM: 20.611

[Rank 0] (epoch: 86, iters: 100, time: 0.600, data: 0.145) , G_GAN: 0.824, G_L1: 0.389, D_real: 0.022, D_fake: 0.107, G_FM: 19.603

[Rank 0] (epoch: 87, iters: 80, time: 1.436, data: 0.003) , G_GAN: 0.687, G_L1: 0.412, D_real: 0.226, D_fake: 0.022, G_FM: 18.997

[Rank 0] (epoch: 88, iters: 60, time: 0.589, data: 0.003) , G_GAN: 0.502, G_L1: 0.396, D_real: 0.211, D_fake: 0.021, G_FM: 19.516

[Rank 0] (epoch: 89, iters: 40, time: 0.641, data: 0.003) , G_GAN: 0.776, G_L1: 0.420, D_real: 0.110, D_fake: 0.033, G_FM: 19.506

[Rank 0] (epoch: 90, iters: 20, time: 0.590, data: 0.003) , G_GAN: 1.170, G_L1: 0.430, D_real: 0.113, D_fake: 0.175, G_FM: 22.608

[Rank 0] (epoch: 90, iters: 120, time: 1.551, data: 0.003) , G_GAN: 0.802, G_L1: 0.375, D_real: 0.097, D_fake: 0.019, G_FM: 20.894

[Rank 0] (epoch: 91, iters: 100, time: 0.590, data: 0.156) , G_GAN: 0.557, G_L1: 0.396, D_real: 0.385, D_fake: 0.055, G_FM: 19.952

[Rank 0] (epoch: 92, iters: 80, time: 0.585, data: 0.003) , G_GAN: 0.838, G_L1: 0.390, D_real: 0.042, D_fake: 0.054, G_FM: 21.148

[Rank 0] (epoch: 93, iters: 60, time: 0.589, data: 0.003) , G_GAN: 0.697, G_L1: 0.425, D_real: 0.045, D_fake: 0.055, G_FM: 22.086

[Rank 0] (epoch: 94, iters: 40, time: 1.432, data: 0.003) , G_GAN: 0.655, G_L1: 0.419, D_real: 0.218, D_fake: 0.157, G_FM: 20.631

[Rank 0] (epoch: 95, iters: 20, time: 0.587, data: 0.003) , G_GAN: 0.820, G_L1: 0.395, D_real: 0.054, D_fake: 0.130, G_FM: 23.438

[Rank 0] (epoch: 95, iters: 120, time: 0.591, data: 0.003) , G_GAN: 0.738, G_L1: 0.417, D_real: 0.035, D_fake: 0.060, G_FM: 21.943

[Rank 0] (epoch: 96, iters: 100, time: 0.646, data: 0.150) , G_GAN: 0.715, G_L1: 0.393, D_real: 0.082, D_fake: 0.043, G_FM: 21.816

[Rank 0] (epoch: 97, iters: 80, time: 1.431, data: 0.003) , G_GAN: 1.029, G_L1: 0.393, D_real: 0.027, D_fake: 0.056, G_FM: 21.932

[Rank 0] (epoch: 98, iters: 60, time: 0.589, data: 0.003) , G_GAN: 0.811, G_L1: 0.406, D_real: 0.022, D_fake: 0.077, G_FM: 21.583

[Rank 0] (epoch: 99, iters: 40, time: 0.586, data: 0.003) , G_GAN: 0.784, G_L1: 0.426, D_real: 0.025, D_fake: 0.046, G_FM: 22.467

[Rank 0] (epoch: 100, iters: 20, time: 0.586, data: 0.003) , G_GAN: 0.739, G_L1: 0.472, D_real: 0.027, D_fake: 0.173, G_FM: 21.212

[Rank 0] (epoch: 100, iters: 120, time: 1.555, data: 0.003) , G_GAN: 0.531, G_L1: 0.412, D_real: 0.115, D_fake: 0.035, G_FM: 22.898

[Rank 0] (epoch: 101, iters: 100, time: 0.591, data: 0.156) , G_GAN: 0.792, G_L1: 0.456, D_real: 0.115, D_fake: 0.043, G_FM: 23.029

[Rank 0] (epoch: 102, iters: 80, time: 0.598, data: 0.002) , G_GAN: 0.798, G_L1: 0.386, D_real: 0.077, D_fake: 0.016, G_FM: 22.180

[Rank 0] (epoch: 103, iters: 60, time: 0.589, data: 0.003) , G_GAN: 0.720, G_L1: 0.422, D_real: 0.024, D_fake: 0.049, G_FM: 22.599

[Rank 0] (epoch: 104, iters: 40, time: 1.584, data: 0.003) , G_GAN: 0.847, G_L1: 0.400, D_real: 0.064, D_fake: 0.021, G_FM: 22.250

[Rank 0] (epoch: 105, iters: 20, time: 0.595, data: 0.003) , G_GAN: 0.868, G_L1: 0.373, D_real: 0.176, D_fake: 0.258, G_FM: 23.197

[Rank 0] (epoch: 105, iters: 120, time: 0.588, data: 0.003) , G_GAN: 0.216, G_L1: 0.420, D_real: 0.125, D_fake: 0.417, G_FM: 8.041

[Rank 0] (epoch: 106, iters: 100, time: 0.594, data: 0.146) , G_GAN: 0.273, G_L1: 0.333, D_real: 0.283, D_fake: 0.224, G_FM: 8.463

[Rank 0] (epoch: 107, iters: 80, time: 1.439, data: 0.003) , G_GAN: 0.291, G_L1: 0.373, D_real: 0.144, D_fake: 0.321, G_FM: 11.317

[Rank 0] (epoch: 108, iters: 60, time: 0.595, data: 0.003) , G_GAN: 0.625, G_L1: 0.381, D_real: 0.058, D_fake: 0.157, G_FM: 18.727

[Rank 0] (epoch: 109, iters: 40, time: 0.589, data: 0.003) , G_GAN: 0.696, G_L1: 0.375, D_real: 0.040, D_fake: 0.058, G_FM: 21.021

[Rank 0] (epoch: 110, iters: 20, time: 0.594, data: 0.003) , G_GAN: 0.871, G_L1: 0.378, D_real: 0.036, D_fake: 0.122, G_FM: 23.066

[Rank 0] (epoch: 110, iters: 120, time: 1.407, data: 0.003) , G_GAN: 0.790, G_L1: 0.383, D_real: 0.020, D_fake: 0.038, G_FM: 24.456

[Rank 0] (epoch: 111, iters: 100, time: 0.651, data: 0.143) , G_GAN: 0.748, G_L1: 0.387, D_real: 0.098, D_fake: 0.011, G_FM: 23.111

[Rank 0] (epoch: 112, iters: 80, time: 0.620, data: 0.003) , G_GAN: 1.050, G_L1: 0.395, D_real: 0.030, D_fake: 0.038, G_FM: 25.288

[Rank 0] (epoch: 113, iters: 60, time: 0.609, data: 0.005) , G_GAN: 0.849, G_L1: 0.372, D_real: 0.046, D_fake: 0.071, G_FM: 24.178

[Rank 0] (epoch: 114, iters: 40, time: 1.431, data: 0.003) , G_GAN: 1.089, G_L1: 0.421, D_real: 0.139, D_fake: 0.109, G_FM: 23.843

[Rank 0] (epoch: 115, iters: 20, time: 0.595, data: 0.003) , G_GAN: 0.869, G_L1: 0.414, D_real: 0.084, D_fake: 0.011, G_FM: 24.112

[Rank 0] (epoch: 115, iters: 120, time: 0.597, data: 0.003) , G_GAN: 1.021, G_L1: 0.387, D_real: 0.026, D_fake: 0.025, G_FM: 24.429

