================ Training Loss (Wed Mar  4 15:35:10 2026) ================
[Rank 0] (epoch: 2, iters: 160, time: 1.082, data: 0.004) , G_GAN: 0.961, G_L1: 59.756, G_delta_bg: 0.000, D_real: 0.135, D_fake: 0.127

[Rank 0] (epoch: 3, iters: 20, time: 0.306, data: 0.003) , G_GAN: 0.968, G_L1: 60.414, G_delta_bg: 0.000, D_real: 0.012, D_fake: 0.007

[Rank 0] (epoch: 3, iters: 120, time: 0.309, data: 0.003) , G_GAN: 1.064, G_L1: 61.020, G_delta_bg: 0.000, D_real: 0.054, D_fake: 0.048

[Rank 0] (epoch: 3, iters: 220, time: 0.311, data: 0.003) , G_GAN: 1.035, G_L1: 61.760, G_delta_bg: 0.000, D_real: 0.019, D_fake: 0.028

[Rank 0] (epoch: 4, iters: 80, time: 1.067, data: 0.005) , G_GAN: 1.146, G_L1: 60.442, G_delta_bg: 0.000, D_real: 0.073, D_fake: 0.118

[Rank 0] (epoch: 4, iters: 180, time: 0.307, data: 0.003) , G_GAN: 0.939, G_L1: 60.439, G_delta_bg: 0.000, D_real: 0.006, D_fake: 0.008

[Rank 0] (epoch: 5, iters: 40, time: 0.309, data: 0.004) , G_GAN: 1.054, G_L1: 62.972, G_delta_bg: 0.000, D_real: 0.021, D_fake: 0.029

[Rank 0] (epoch: 5, iters: 140, time: 0.337, data: 0.004) , G_GAN: 0.974, G_L1: 59.996, G_delta_bg: 0.000, D_real: 0.023, D_fake: 0.015

[Rank 0] (epoch: 5, iters: 240, time: 1.079, data: 0.004) , G_GAN: 0.990, G_L1: 63.311, G_delta_bg: 0.000, D_real: 0.005, D_fake: 0.004

[Rank 0] (epoch: 6, iters: 100, time: 0.332, data: 0.220) , G_GAN: 1.025, G_L1: 62.662, G_delta_bg: 0.000, D_real: 0.005, D_fake: 0.010

[Rank 0] (epoch: 6, iters: 200, time: 0.342, data: 0.003) , G_GAN: 0.989, G_L1: 60.182, G_delta_bg: 0.000, D_real: 0.008, D_fake: 0.010

================ Training Loss (Wed Mar  4 16:16:13 2026) ================
